1	Precious Achiuwa\achiupr01	22	TOR	73	28	23.6	0.486	1.1	9.1	12.7	0.503	18.5	-2.0	-0.6
2	Steven Adams\adamsst01	28	MEM	76	75	26.3	0.547	3.4	6.9	17.6	0.560	12.0	1.0	1.0
3	Bam Adebayo\adebaba01	24	MIA	56	56	32.6	0.557	3.4	19.1	21.8	0.608	25.0	1.7	2.1
4	Santi Aldama\aldamsa01	21	MEM	32	0	11.3	0.424	0.7	4.1	10.2	0.452	18.4	-4.2	-1.5
5	LaMarcus Aldridge\aldrila01	36	BRK	47	12	22.3	0.566	0.9	12.9	19.6	0.604	22.4	1.3	-0.6
6	Nickeil Alexander-Walker\alexani01	23	TOT	65	21	22.6	0.449	2.4	10.6	10.5	0.475	24.1	-1.8	-1.1
6	Nickeil Alexander-Walker\alexani01	23	NOP	50	19	26.3	0.450	2.8	12.8	10.5	0.474	24.8	-1.7	-1.3
6	Nickeil Alexander-Walker\alexani01	23	UTA	15	2	9.9	0.438	1.1	3.5	10.2	0.497	17.9	-2.9	1.2
7	Grayson Allen\allengr01	26	MIL	66	61	27.3	0.588	1.5	11.1	12.7	0.609	15.2	0.6	-0.2
8	Jarrett Allen\allenja01	23	CLE	56	56	32.3	0.678	1.6	16.1	23.0	0.698	18.1	2.7	1.2
9	Jose Alvarado\alvarjo01	23	NOP	54	1	15.4	0.500	2.8	6.1	16.4	0.520	18.4	-0.5	2.4
10	Justin Anderson\anderju01	28	TOT	16	6	19.8	0.458	2.1	6.4	10.4	0.493	15.1	-1.9	-1.3
10	Justin Anderson\anderju01	28	CLE	3	0	15.7	0.625	2.0	4.3	10.7	0.666	11.1	-3.0	0.4
10	Justin Anderson\anderju01	28	IND	13	6	20.7	0.443	2.1	6.8	10.3	0.475	15.8	-1.7	-1.6
11	Kyle Anderson\anderky01	28	MEM	69	11	21.5	0.484	2.7	7.6	14.4	0.506	16.2	-0.9	2.1
12	Giannis Antetokounmpo\antetgi01	27	MIL	67	67	32.9	0.582	5.8	29.9	32.1	0.633	34.9	7.6	3.5
13	Thanasis Antetokounmpo\antetth01	29	MIL	48	6	9.9	0.555	0.5	3.6	12.5	0.577	15.7	-3.5	-0.1
14	Carmelo Anthony\anthoca01	37	LAL	69	3	26.0	0.544	1.0	13.3	14.8	0.579	20.4	0.4	-0.8
15	Cole Anthony\anthoco01	21	ORL	65	65	31.7	0.464	5.7	16.3	13.5	0.519	25.1	-0.6	-0.6
16	OG Anunoby\anunoog01	24	TOR	48	48	36.0	0.526	2.6	17.1	14.8	0.549	20.5	0.4	0.1
