36	Nicolas Batum\batumni01	30	CHO	75	72	31.4	0.553	3.3	9.3	11.9	0.581	13.2	-0.7	0.4
37	Jerryd Bayless\bayleje01	30	MIN	34	6	19.3	0.420	3.5	6.1	8.5	0.431	17.6	-2.9	-1.7
38	Aron Baynes\baynear01	32	BOS	51	18	16.1	0.518	1.1	5.6	14.0	0.567	15.2	-1.8	0.3
39	Kent Bazemore\bazemke01	29	ATL	67	35	24.5	0.472	2.3	11.6	11.9	0.507	22.0	-2.5	0.2
40	Bradley Beal\bealbr01	25	WAS	82	82	36.9	0.540	5.5	25.6	20.8	0.581	28.4	3.8	-0.8
41	Malik Beasley\beaslma01	22	DEN	81	18	23.2	0.584	1.2	11.3	14.2	0.599	18.7	0.8	-0.7
42	Michael Beasley\beaslmi01	30	LAL	26	2	10.7	0.500	1.0	7.0	15.9	0.532	29.5	-1.9	0.5
43	Marco Belinelli\belinma01	32	SAS	79	1	23.0	0.520	1.7	10.5	11.9	0.557	19.8	-0.5	-1.2
44	Jordan Bell\belljo01	24	GSW	68	3	11.6	0.516	1.1	3.3	12.9	0.531	13.7	-2.2	1.3
45	DeAndre' Bembry\bembrde01	24	ATL	82	15	23.5	0.487	2.5	8.4	10.8	0.508	17.2	-3.3	0.8
46	Dragan Bender\bendedr01	21	PHO	46	27	18.0	0.503	1.2	5.0	9.5	0.521	13.4	-3.4	-0.8
47	Dairis Bertāns\bertada02	29	NOP	12	0	13.9	0.362	0.8	2.8	2.0	0.362	12.0	-5.6	-3.2
48	Dāvis Bertāns\bertada01	26	SAS	76	12	21.5	0.610	1.3	8.0	13.0	0.632	14.1	1.1	0.2
49	Patrick Beverley\beverpa01	30	LAC	78	49	27.4	0.524	3.8	7.6	11.8	0.561	12.2	-0.3	1.2
50	Khem Birch\birchkh01	26	ORL	50	1	12.9	0.603	0.8	4.8	19.2	0.640	14.1	0.1	1.0
51	Bismack Biyombo\biyombi01	26	CHO	54	32	14.5	0.571	0.6	4.4	14.4	0.602	12.7	-2.4	0.0
52	Nemanja Bjelica\bjeline01	30	SAC	77	70	23.2	0.566	1.9	9.6	15.4	0.585	16.5	0.4	0.5
53	Antonio Blakeney\blakean01	22	CHI	57	3	14.5	0.465	0.7	7.3	10.6	0.487	24.5	-2.4	-2.7
54	Eric Bledsoe\bledser01	29	MIL	78	78	29.1	0.548	5.5	15.9	19.3	0.577	22.9	1.9	1.2
55	Jaron Blossomgame\blossja01	25	CLE	27	4	16.3	0.491	0.5	4.2	10.2	0.510	12.2	-1.9	-1.8
56	Bogdan Bogdanović\bogdabo01	26	SAC	70	17	27.8	0.496	3.8	14.1	14.1	0.530	22.3	-0.1	-0.6
57	Bojan Bogdanović\bogdabo02	29	IND	81	81	31.8	0.575	2.0	18.0	16.1	0.613	22.4	1.3	-0.6
58	Andrew Bogut\bogutan01	34	GSW	11	5	12.2	0.500	1.0	3.5	13.4	0.523	14.5	-3.7	0.8
59	Jonah Bolden\boldejo01	23	PHI	44	10	14.5	0.599	0.9	4.7	12.7	0.595	13.8	-1.8	1.1
60	Isaac Bonga\bongais01	19	LAL	22	0	5.5	0.152	0.7	0.9	6.0	0.240	15.7	-7.0	2.2
61	Devin Booker\bookede01	22	PHO	64	64	35.0	0.521	6.8	26.6	20.2	0.584	32.9	3.3	-2.3
62	Chris Boucher\bouchch01	26	TOR	28	0	5.8	0.526	0.1	3.3	22.2	0.563	23.6	-0.2	2.8
63	Avery Bradley\bradlav01	28	TOT	63	63	30.2	0.479	2.4	9.9	7.6	0.496	16.2	-2.8	-0.9
63	Avery Bradley\bradlav01	28	LAC	49	49	29.9	0.452	2.0	8.2	5.5	0.464	14.2	-3.7	-0.9
63	Avery Bradley\bradlav01	28	MEM	14	14	31.6	0.537	4.0	16.1	14.5	0.565	22.9	0.1	-1.0
64	Tony Bradley\bradlto01	21	UTA	3	0	12.0	0.500	0.3	5.7	19.6	0.504	23.6	-3.6	-2.4
65	Corey Brewer\breweco01	32	TOT	31	3	15.9	0.488	1.3	4.9	11.6	0.532	13.6	-2.9	1.6
65	Corey Brewer\breweco01	32	PHI	7	3	20.0	0.449	1.4	7.6	10.8	0.484	18.8	-5.1	1.5
65	Corey Brewer\breweco01	32	SAC	24	0	14.7	0.514	1.2	4.1	12.0	0.562	11.5	-2.0	1.6
66	Mikal Bridges\bridgmi01	22	PHO	82	56	29.5	0.523	2.1	8.3	10.8	0.556	12.2	-2.0	0.4
